iter	Passed	Remaining
0	4	1274
1	8	1264
2	12	1226
3	16	1247
4	20	1237
5	24	1224
6	29	1227
7	33	1227
8	37	1212
9	41	1207
10	45	1197
11	50	1207
12	54	1206
13	58	1198
14	62	1192
15	66	1181
16	70	1174
17	74	1164
18	78	1160
19	82	1148
20	85	1136
21	89	1129
22	93	1121
23	97	1116
24	101	1112
25	105	1107
26	109	1107
27	113	1102
28	117	1098
29	121	1097
30	126	1095
31	130	1090
32	134	1085
33	138	1082
34	142	1076
35	146	1070
36	149	1064
37	153	1057
38	157	1051
39	161	1046
40	165	1043
41	169	1039
42	173	1036
43	177	1031
44	181	1027
45	184	1021
46	189	1017
47	192	1012
48	196	1006
49	199	998
50	203	993
51	207	987
52	210	982
53	214	978
54	218	972
55	222	969
56	226	964
57	229	958
58	233	953
59	237	948
60	241	944
61	244	938
62	248	934
63	251	928
64	255	923
65	259	918
66	262	913
67	266	908
68	269	903
69	273	898
70	277	894
71	281	890
72	285	886
73	288	882
74	292	878
75	297	875
76	300	870
77	304	866
78	308	862
79	311	857
80	315	853
81	319	849
82	323	845
83	327	841
84	330	836
85	334	832
86	338	828
87	342	824
88	346	821
89	350	817
90	354	814
91	358	811
92	363	808
93	367	805
94	371	802
95	375	798
96	379	794
97	383	790
98	387	785
99	390	781
100	394	777
101	398	773
102	402	768
103	406	765
104	410	761
105	414	758
106	418	755
107	422	751
108	427	748
109	430	744
110	434	740
111	438	736
112	442	732
113	446	728
114	450	723
115	453	720
116	458	716
117	462	713
118	467	710
119	471	707
120	476	704
121	480	701
122	484	697
123	488	693
124	493	690
125	498	687
126	502	684
127	506	681
128	511	677
129	515	673
130	519	670
131	524	667
132	529	664
133	534	661
134	538	657
135	542	654
136	547	650
137	551	647
138	555	643
139	559	639
140	563	635
141	568	632
142	571	627
143	575	623
144	579	619
145	583	615
146	587	611
147	591	607
148	595	603
149	600	600
150	604	596
151	608	592
152	612	588
153	616	584
154	620	580
155	624	576
156	627	571
157	632	568
158	635	563
159	639	559
160	643	555
161	647	551
162	651	547
163	655	543
164	659	539
165	662	534
166	666	530
167	670	526
168	673	522
169	677	518
170	681	514
171	685	510
172	689	506
173	693	502
174	697	498
175	700	493
176	704	489
177	708	485
178	712	481
179	716	477
180	720	473
181	724	469
182	727	465
183	731	461
184	735	457
185	739	452
186	742	448
187	746	444
188	750	440
189	754	436
190	758	432
191	761	428
192	765	424
193	769	420
194	773	416
195	777	412
196	780	408
197	784	404
198	788	400
199	792	396
200	796	392
201	800	388
202	803	384
203	807	380
204	811	375
205	814	371
206	818	367
207	821	363
208	825	359
209	829	355
210	832	351
211	836	347
212	840	343
213	844	339
214	848	335
215	852	331
216	855	327
217	859	323
218	863	319
219	867	315
220	871	311
221	874	307
222	878	303
223	882	299
224	887	295
225	891	291
226	895	287
227	899	284
228	903	280
229	906	276
230	911	272
231	916	268
232	920	264
233	924	260
234	928	256
235	932	252
236	936	248
237	940	245
238	944	241
239	948	237
240	952	233
241	955	229
242	959	225
243	963	221
244	967	217
245	970	213
246	974	209
247	978	205
248	981	201
249	985	197
250	989	193
251	993	189
252	997	185
253	1001	181
254	1006	177
255	1010	173
256	1014	169
257	1019	165
258	1023	161
259	1027	158
260	1031	154
261	1036	150
262	1039	146
263	1043	142
264	1047	138
265	1051	134
266	1055	130
267	1059	126
268	1063	122
269	1067	118
270	1071	114
271	1074	110
272	1078	106
273	1082	102
274	1086	98
275	1090	94
276	1093	90
277	1097	86
278	1101	82
279	1105	78
280	1108	74
281	1112	71
282	1116	67
283	1120	63
284	1124	59
285	1128	55
286	1132	51
287	1136	47
288	1140	43
289	1144	39
290	1147	35
291	1151	31
292	1155	27
293	1159	23
294	1162	19
295	1166	15
296	1170	11
297	1174	7
298	1177	3
299	1181	0
